Date,factor,weight
2010-06-30,credit_carry_3m,0.19851566920966493
2010-06-30,drawdown_6m,0.30049678671456403
2010-06-30,spx_vs_bcom_6m,0.13514770818340546
2010-06-30,rates_change_6m,0.2359324719709712
2010-07-30,credit_carry_3m,0.22650245973270702
2010-07-30,vol_regime_3_12,0.12951394309339145
2010-07-30,spx_mom_12m,0.18385630707683243
2010-07-30,drawdown_6m,0.0969911698141903
2010-07-30,spx_vs_bcom_6m,0.13938449760990368
2010-07-30,rates_change_6m,0.22375162267297513
2010-08-31,vol_regime_3_12,0.1448154522154348
2010-08-31,credit_carry_3m,0.18944422807080258
2010-08-31,drawdown_6m,0.1795703590654738
2010-08-31,spx_mom_12m,0.12872793669004987
2010-08-31,spx_vs_bcom_6m,0.13707565274593775
2010-08-31,rates_change_6m,0.22036637121230127
2010-09-30,credit_carry_3m,0.2252139411390373
2010-09-30,vol_regime_3_12,0.09883749083197561
2010-09-30,drawdown_6m,0.19895011666024917
2010-09-30,spx_mom_12m,0.11427680540608888
2010-09-30,spx_vs_bcom_6m,0.11156663714876741
2010-09-30,rates_change_6m,0.25115500881388164
2010-10-29,credit_carry_3m,0.24128714784082095
2010-10-29,vol_regime_3_12,0.07917137970997355
2010-10-29,drawdown_6m,0.18595506433459538
2010-10-29,spx_mom_12m,0.13212189150336234
2010-10-29,spx_vs_bcom_6m,0.09961482332504716
2010-10-29,rates_change_6m,0.2618496932862005
2010-11-30,credit_carry_3m,0.28022899499222587
2010-11-30,vol_regime_3_12,0.09918387499144725
2010-11-30,drawdown_6m,0.22182806180447245
2010-11-30,spx_mom_12m,0.13286225755867942
2010-11-30,rates_change_6m,0.265896810653175
2010-12-31,credit_carry_3m,0.2400518010377696
2010-12-31,vol_regime_3_12,0.1052419274431686
2010-12-31,drawdown_6m,0.24081032642578679
2010-12-31,spx_mom_12m,0.11707622606916636
2010-12-31,rates_change_6m,0.29681971902410875
2011-01-31,credit_carry_3m,0.21024251673853683
2011-01-31,drawdown_6m,0.20484900347909935
2011-01-31,vol_regime_3_12,0.10036065406652413
2011-01-31,spx_mom_12m,0.13427896590073213
2011-01-31,rates_change_6m,0.2709816395823508
2011-01-31,spx_vs_bcom_6m,0.07928722023275687
2011-02-28,credit_carry_3m,0.2528116998202814
2011-02-28,vol_regime_3_12,0.10993115719601619
2011-02-28,drawdown_6m,0.21175333709833044
2011-02-28,spx_mom_12m,0.1532784512590254
2011-02-28,rates_change_6m,0.27222535462634656
2011-03-31,credit_carry_3m,0.30342300250596743
2011-03-31,vol_regime_3_12,0.08659197940220373
2011-03-31,drawdown_6m,0.196365621326153
2011-03-31,rates_change_6m,0.2784008236152678
2011-03-31,spx_mom_12m,0.1352185731504081
2011-04-29,credit_carry_3m,0.2590460122086057
2011-04-29,vol_regime_3_12,0.14043212144744907
2011-04-29,drawdown_6m,0.1694460181459152
2011-04-29,spx_mom_12m,0.18342275028950952
2011-04-29,rates_change_6m,0.24765309790852058
2011-05-31,credit_carry_3m,0.2519513812087264
2011-05-31,vol_regime_3_12,0.12702957727393563
2011-05-31,drawdown_6m,0.1958748613515011
2011-05-31,spx_mom_12m,0.15757577164586972
2011-05-31,rates_change_6m,0.26756840851996727
2011-06-30,credit_carry_3m,0.25163739590589246
2011-06-30,vol_regime_3_12,0.10126366368092071
2011-06-30,drawdown_6m,0.25698152767619964
2011-06-30,spx_mom_12m,0.0949819360211925
2011-06-30,rates_change_6m,0.29513547671579465
2011-07-29,credit_carry_3m,0.25807340944729656
2011-07-29,vol_regime_3_12,0.08823340141566968
2011-07-29,drawdown_6m,0.3401124337947429
2011-07-29,spx_mom_12m,0.0
2011-07-29,rates_change_6m,0.3135807553422908
2011-08-31,credit_carry_3m,0.30241074950079805
2011-08-31,vol_regime_3_12,0.07379765317496957
2011-08-31,drawdown_6m,0.34759387744445375
2011-08-31,rates_change_6m,0.27619771987977865
2011-09-30,credit_carry_3m,0.3969002123269737
2011-09-30,vol_regime_3_12,0.059803211387453335
2011-09-30,drawdown_6m,0.3311774855980939
2011-09-30,rates_change_6m,0.21211909068747892
2011-10-31,credit_carry_3m,0.4053537099475651
2011-10-31,vol_regime_3_12,0.1201769041916231
2011-10-31,spx_mom_3m,0.24916926788867616
2011-10-31,rates_change_6m,0.2253001179721357
2011-11-30,credit_carry_3m,0.30077085733186176
2011-11-30,vol_regime_3_12,0.10596799096717045
2011-11-30,drawdown_6m,0.3475508532869665
2011-11-30,rates_change_6m,0.24571029841400124
2011-12-30,credit_carry_3m,0.29757427197715386
2011-12-30,vol_regime_3_12,0.10541046131815048
2011-12-30,drawdown_6m,0.34907929301137675
2011-12-30,rates_change_6m,0.24793597369331885
2012-01-31,credit_carry_3m,0.2459873600178859
2012-01-31,spx_mom_3m,0.36198555913182706
2012-01-31,vol_regime_3_12,0.11660389035774348
2012-01-31,rates_change_6m,0.27542319049254366
2012-02-29,credit_carry_3m,0.22570583138435857
2012-02-29,drawdown_6m,0.33699899950602763
2012-02-29,vol_regime_3_12,0.12215753012733965
2012-02-29,rates_change_6m,0.31513763898227426
2012-03-30,credit_carry_3m,0.24696680108244007
2012-03-30,drawdown_6m,0.35201514925552213
2012-03-30,vol_regime_3_12,0.09262155551875242
2012-03-30,rates_change_6m,0.30839649414328546
2012-04-30,credit_carry_3m,0.23433546113335788
2012-04-30,drawdown_6m,0.3809006526320313
2012-04-30,vol_regime_3_12,0.08255901334386066
2012-04-30,rates_change_6m,0.3022048728907502
2012-05-31,credit_carry_3m,0.27079752945131164
2012-05-31,drawdown_6m,0.3877528755927868
2012-05-31,vol_regime_3_12,0.055435538727253854
2012-05-31,rates_change_6m,0.2860140562286478
2012-06-29,credit_carry_3m,0.29730058441859664
2012-06-29,drawdown_6m,0.36489087011304516
2012-06-29,vol_regime_3_12,0.049733276339740375
2012-06-29,rates_change_6m,0.2880752691286178
2012-07-31,credit_carry_3m,0.3357756870042498
2012-07-31,vol_regime_3_12,0.06978256089576038
2012-07-31,drawdown_6m,0.31625344742713857
2012-07-31,rates_change_6m,0.2781883046728513
2012-08-31,credit_carry_3m,0.3517474146732622
2012-08-31,drawdown_6m,0.3048724840746969
2012-08-31,vol_regime_3_12,0.06413107738164266
2012-08-31,rates_change_6m,0.2792490238703982
2012-09-28,credit_carry_3m,0.45036744626848557
2012-09-28,vol_regime_3_12,0.05648278327674004
2012-09-28,rates_change_6m,0.3527752973635474
2012-09-28,drawdown_6m,0.140374473091227
2012-09-28,credit_vs_rates_3m,0.0
2012-10-31,credit_carry_3m,0.4698980619951888
2012-10-31,spx_mom_3m,0.23378002534580924
2012-10-31,vol_regime_3_12,0.08957006978328724
2012-10-31,rates_change_6m,0.2067518428757148
2012-11-30,credit_carry_3m,0.3573323782950836
2012-11-30,drawdown_6m,0.3200809769815075
2012-11-30,vol_regime_3_12,0.09832740045359097
2012-11-30,rates_change_6m,0.22425924426981803
2012-12-31,credit_carry_3m,0.3909516130059203
2012-12-31,drawdown_6m,0.3207376709013359
2012-12-31,vol_regime_3_12,0.03918092796199548
2012-12-31,rates_change_6m,0.24912978813074838
2013-01-31,credit_carry_3m,0.3723576727594956
2013-01-31,spx_mom_3m,0.3122182970841882
2013-01-31,rates_change_6m,0.26400694756635074
2013-01-31,vol_regime_3_12,0.05141708258996553
2013-02-28,credit_carry_3m,0.43404325867881904
2013-02-28,spx_mom_3m,0.2740222158275936
2013-02-28,rates_change_6m,0.2529083559370612
2013-02-28,vol_regime_3_12,0.03902616955652624
2013-03-29,credit_carry_3m,0.42294014522760803
2013-03-29,spx_mom_3m,0.283316909633003
2013-03-29,rates_change_6m,0.24653866452638268
2013-03-29,vol_regime_3_12,0.04720428061300635
2013-04-30,credit_carry_3m,0.30831677077533315
2013-04-30,spx_mom_3m,0.39948949915207654
2013-04-30,rates_change_6m,0.2921937300725902
2013-04-30,vol_regime_3_12,0.0
2013-05-31,credit_carry_3m,0.28392249190925056
2013-05-31,spx_mom_3m,0.4049916280005851
2013-05-31,rates_change_6m,0.3110858800901643
2013-05-31,vol_regime_3_12,0.0
2013-06-28,credit_carry_3m,0.2991804412500317
2013-06-28,spx_mom_3m,0.38398176390875366
2013-06-28,rates_change_6m,0.3168377948412146
2013-06-28,vol_regime_3_12,0.0
2013-07-31,credit_carry_3m,0.3078322263840687
2013-07-31,spx_mom_3m,0.41709817099343993
2013-07-31,vol_regime_3_12,0.0
2013-07-31,rates_change_6m,0.2750696026224914
2013-08-30,credit_carry_3m,0.36367561384468855
2013-08-30,spx_mom_3m,0.3499699996409644
2013-08-30,rates_change_6m,0.2863543865143471
2013-08-30,vol_regime_3_12,0.0
2013-09-30,credit_carry_3m,0.37750773558593487
2013-09-30,drawdown_6m,0.36145943772016764
2013-09-30,vol_regime_3_12,0.0
2013-09-30,rates_change_6m,0.26103282669389755
2013-10-31,credit_carry_3m,0.4570549219302674
2013-10-31,spx_mom_3m,0.38893481336739827
2013-10-31,rates_change_6m,0.15401026470233414
2013-10-31,vol_regime_3_12,0.0
2013-11-29,credit_carry_3m,0.5
2013-11-29,spx_mom_3m,0.39662706372509604
2013-11-29,rates_change_6m,0.10337293627490392
2013-11-29,vol_regime_3_12,0.0
2013-12-31,credit_carry_3m,0.38043696908749147
2013-12-31,spx_mom_3m,0.431620964353138
2013-12-31,rates_change_6m,0.18794206655937057
2013-12-31,vol_regime_3_12,0.0
2014-01-31,credit_carry_3m,0.47927150369127747
2014-01-31,drawdown_6m,0.3181286717830425
2014-01-31,rates_change_6m,0.2025998245256801
2014-01-31,vol_regime_3_12,0.0
2014-02-28,credit_carry_3m,0.5
2014-02-28,drawdown_6m,0.29813483781360023
2014-02-28,rates_change_6m,0.2018651621863998
2014-02-28,vol_regime_3_12,0.0
2014-03-31,credit_carry_3m,0.3780580321915413
2014-03-31,spx_mom_3m,0.3853164321309229
2014-03-31,rates_change_6m,0.23662553567753575
2014-03-31,vol_regime_3_12,0.0
2014-04-30,credit_carry_3m,0.38727950609995204
2014-04-30,spx_mom_3m,0.3712106311211462
2014-04-30,rates_change_6m,0.24150986277890177
2014-04-30,vol_regime_3_12,0.0
2014-05-30,credit_carry_3m,0.3936312239524633
2014-05-30,spx_mom_3m,0.36935040616618153
2014-05-30,rates_change_6m,0.23701836988135516
2014-05-30,vol_regime_3_12,0.0
2014-06-30,credit_carry_3m,0.389228857642023
2014-06-30,spx_mom_3m,0.36385450138047415
2014-06-30,rates_change_6m,0.24691664097750282
2014-06-30,vol_regime_3_12,0.0
2014-07-31,credit_carry_3m,0.39429633022045507
2014-07-31,spx_mom_3m,0.3767072393452377
2014-07-31,rates_change_6m,0.22899643043430717
2014-07-31,vol_regime_3_12,0.0
2014-08-29,credit_carry_3m,0.5
2014-08-29,drawdown_6m,0.28187136633336873
2014-08-29,rates_change_6m,0.21812863366663135
2014-08-29,vol_regime_3_12,0.0
2014-09-30,credit_carry_3m,0.5
2014-09-30,drawdown_6m,0.293447995815735
2014-09-30,rates_change_6m,0.206552004184265
2014-09-30,vol_regime_3_12,0.0
2014-10-31,credit_carry_3m,0.5
2014-10-31,drawdown_6m,0.283556479897766
2014-10-31,rates_change_6m,0.21644352010223394
2014-10-31,vol_regime_3_12,0.0
2014-11-28,credit_carry_3m,0.3508727263193046
2014-11-28,spx_mom_3m,0.4058822621885732
2014-11-28,rates_change_6m,0.24324501149212227
2014-11-28,vol_regime_3_12,0.0
2014-12-31,credit_carry_3m,0.4616073668982313
2014-12-31,spx_mom_3m,0.33845998764681895
2014-12-31,rates_change_6m,0.19993264545494976
2014-12-31,spx_vs_bcom_6m,0.0
2015-01-30,credit_carry_3m,0.4068390284556517
2015-01-30,spx_mom_3m,0.4029762105014211
2015-01-30,rates_change_6m,0.1901847610429273
2015-01-30,vol_regime_3_12,0.0
2015-02-27,credit_carry_3m,0.47686259372520445
2015-02-27,spx_mom_3m,0.2970915045628911
2015-02-27,rates_change_6m,0.2260459017119045
2015-02-27,spx_vs_bcom_6m,0.0
2015-03-31,credit_carry_3m,0.5
2015-03-31,spx_mom_3m,0.34765812038281646
2015-03-31,rates_change_6m,0.15234187961718357
2015-03-31,vol_regime_3_12,0.0
2015-04-30,credit_carry_3m,0.5
2015-04-30,spx_mom_3m,0.36710718956516086
2015-04-30,rates_change_6m,0.13289281043483916
2015-04-30,vol_regime_3_12,0.0
2015-05-29,credit_carry_3m,0.5
2015-05-29,spx_mom_3m,0.3714147808484747
2015-05-29,rates_change_6m,0.1285852191515253
2015-05-29,vol_regime_3_12,0.0
2015-06-30,credit_carry_3m,0.5
2015-06-30,spx_mom_3m,0.36571168006602023
2015-06-30,rates_change_6m,0.1342883199339797
2015-06-30,vol_regime_3_12,0.0
2015-07-31,credit_carry_3m,0.5
2015-07-31,spx_mom_3m,0.3826872659334418
2015-07-31,rates_change_6m,0.11731273406655816
2015-07-31,vol_regime_3_12,0.0
2015-08-31,credit_carry_3m,0.4694664703710936
2015-08-31,spx_mom_3m,0.37213598095327227
2015-08-31,rates_change_6m,0.15839754867563413
2015-08-31,vol_regime_3_12,0.0
2015-09-30,credit_carry_3m,0.43870385462818356
2015-09-30,spx_mom_3m,0.3885842572932226
2015-09-30,rates_change_6m,0.17271188807859392
