Date,SPX_Price,SPX_Return,Composite_Score,Signal,Position,Forward_Return,Strategy_Return,BH_Return,Strategy_Cumulative,BH_Cumulative,Bench_6040_Return,Bench_6040_Cumulative,Bench_SMA_Return,Bench_SMA_Cumulative,Bench_Random_Return,Bench_Random_Cumulative,Meta_Label,Rolling_Sharpe,Rolling_HitRate,Z1_Momentum,Z2_CrossAsset,Z3_Yield,Z4_Credit,Z5_Vol,Set
2000-04-28,1452.43,-0.0308,-0.7336334093469093,SELL,0.0,-0.0219,-0.0,-0.0219,0.9122517344120656,2.233373788691185,-0.009276399999999999,1.7496022371149802,-0.0219,1.9175064758565277,0.0,1.3518844830232215,1.0,,0.6,-1.5678042808192008,-1.033296444789513,-0.28448894848142636,-0.15949217241881788,-0.6230852002255887,train
2000-05-31,1420.6,-0.0219,-0.9287291285891452,SELL,0.0,0.0239,0.0,0.0239,0.9122517344120656,2.2867514222409047,-0.0010300000000000014,1.7478001468107518,0.0239,1.9633348806294988,0.0,1.3518844830232215,0.0,,0.5454545454545454,-1.4723200827921221,-1.5670825503004386,-0.1268982999198791,-0.7316899014090477,-0.7456548085242386,train
2000-06-30,1454.6,0.0239,-0.6587531343067795,SELL,0.0,-0.0163,-0.0,-0.0163,0.9122517344120656,2.2494773740583778,-0.009779999999999999,1.7307066613749427,-0.0163,1.931332522075238,-0.016300000000000037,1.329848765949943,1.0,,0.5454545454545454,-1.7005958998526487,-1.6713293674561458,0.5908628100285868,0.016549376616569734,-0.5292525908702594,train
2000-07-31,1430.83,-0.0163,-0.10154483552363591,HOLD,0.0,0.060700000000000004,0.0,0.060700000000000004,0.9122517344120656,2.3860206506637214,0.016124799999999998,1.7586139601482815,0.060700000000000004,2.048564406165205,0.060699999999999914,1.4105705860431044,,,0.5,-1.4754776613596805,-0.6993087662506133,0.9050395797140858,0.9506491027367135,-0.18862643245868504,train
2000-08-31,1517.68,0.060700000000000004,0.19071362690243387,HOLD,0.0,-0.0535,-0.0,-0.0535,0.9122517344120656,2.2583685458532123,-0.026719999999999997,1.7116237951331195,-0.0535,1.9389662104353664,-0.05350000000000006,1.3351050596897982,,,0.4444444444444444,-0.7679297067736212,-0.6625520802145588,0.9604764126405391,1.6301325787029177,-0.2065590698431072,train
2000-09-29,1436.51,-0.0535,-0.1418158248050801,HOLD,0.0,-0.0049,-0.0,-0.0049,0.9122517344120656,2.2473025399785316,-0.006456,1.70057355191174,-0.0049,1.929465276004233,0.0,1.3351050596897982,,,0.5,-1.0268711065748017,-1.4931419685807685,0.23995399355586713,0.7411799750824268,0.8297999824918761,train
2000-10-31,1429.4,-0.0049,-0.24885428081760566,HOLD,0.0,-0.0801,-0.0,-0.0801,0.9122517344120656,2.0672936065262513,-0.0677436,1.5853705774404518,-0.0801,1.7749151073962939,0.0,1.3351050596897982,,,0.5714285714285714,-1.6386102076195803,-1.2074018501157413,0.6211061819602531,0.20379841011988004,0.7768360615671606,train
2000-11-30,1314.95,-0.0801,-0.4939716702970704,HOLD,0.0,0.0040999999999999995,0.0,0.0040999999999999995,0.9122517344120656,2.075769510313009,-0.0235824,1.5479837343350202,0.0040999999999999995,1.7821922593366186,0.0,1.3351050596897982,,,0.6666666666666666,-2.4004074584348998,-1.610819133280519,1.1156217804019382,0.1749840037631772,0.25076245606495146,train
2000-12-29,1320.28,0.0040999999999999995,-0.42621012572151046,HOLD,0.0,0.0346,0.0,0.0346,0.9122517344120656,2.147591135369839,0.020916399999999998,1.5803619813158651,0.0346,1.8438561115096657,0.0,1.3351050596897982,,,0.6,-2.5872001250279135,-1.7139553661801756,1.2578227701734013,0.7642874536685542,0.1479946387585818,train
2001-01-31,1366.01,0.0346,-0.08739837843162118,HOLD,0.0,-0.09230000000000001,-0.0,-0.09230000000000001,0.9122517344120656,1.9493684735752028,-0.0724312,1.4658944665747795,-0.0,1.8438561115096657,0.0,1.3351050596897982,,,0.5,-1.8276626960027549,-1.5625208978460294,1.2258264199091211,1.9804089272514804,-0.25304364546992303,train
