Date,raw_score,prob_up,threshold,threshold_exit,threshold_score_gate,threshold_low,threshold_high,side,score_coverage,selected_factor_count,Forward_Return,Target_Up,Set,forward_return,turnover,gross_return,cost_drag,net_return,equity_gross,equity_net,drawdown_net
2007-01-31,0.5802555509501721,0.8143427866271679,0.5800000000000001,0.5000000000000001,0.10600884558024223,,,1.0,1.0,4,-0.0218,0,train,-0.0218,0.0,-0.0218,0.0,-0.0218,1.0987841856724412,1.0982408248843523,-0.021800000000000153
2007-02-28,0.10221670655114189,0.728786454205512,0.55,0.48,0.08435846046259388,,,1.0,1.0,4,0.01,1,train,0.01,0.0,0.01,0.0,0.01,1.1097720275291656,1.1092232331331957,-0.012018000000000195
2007-03-30,-0.10705301055405055,0.691186365535691,0.55,0.48,0.07806060344653361,,,1.0,1.0,4,0.0433,1,train,0.0433,0.0,0.0433,0.0,0.0433,1.1578251563211783,1.157252599127863,0.0
2007-04-30,0.21217775695743646,0.796317203662448,0.52,0.48,0.08081685246195348,,,1.0,1.0,4,0.0325,1,train,0.0325,0.0,0.0325,0.0,0.0325,1.1954544739016166,1.1948633085995186,0.0
2007-05-31,0.027787404629511986,0.7407010189880257,0.52,0.48,0.08143655228066944,,,0.0,1.0,4,-0.0178,0,train,-0.0178,1.0,-0.0,0.0005,-0.0005,1.1954544739016166,1.194265876945219,-0.0004999999999998339
2007-06-29,-0.22154749187854428,0.6823213094421137,0.52,0.48,0.08317677546302181,,,1.0,1.0,4,-0.032,0,train,-0.032,1.0,-0.032,0.0005,-0.0325,1.1571999307367649,1.1554522359444994,-0.03298374999999987
2007-07-31,-0.6448392853597646,0.5022449357797663,0.52,0.48,0.08624063182461296,,,1.0,1.0,4,0.0129,1,train,0.0129,0.0,0.0129,0.0,0.0129,1.172127809843269,1.1703575697881834,-0.020509240374999904
2007-08-31,0.0366659899692298,0.7030774072747412,0.52,0.48,0.084729599221583,,,0.0,1.0,4,0.0358,1,train,0.0358,1.0,0.0,0.0005,-0.0005,1.172127809843269,1.1697723910032893,-0.020998985754812405
2007-09-28,0.11014494118370152,0.7494998808929596,0.52,0.48,0.0830248590633728,,,1.0,1.0,4,0.0148,1,train,0.0148,1.0,0.0148,0.0005,0.0143,1.1894753014289494,1.1865001361946363,-0.0069992712511062205
2007-10-31,0.14997820406789716,0.7307902847013794,0.52,0.48,0.06461065816888847,,,1.0,0.9999999999999999,4,-0.044000000000000004,0,train,-0.044000000000000004,0.0,-0.044000000000000004,0.0,-0.044000000000000004,1.1371383881660755,1.1342941302020724,-0.050691303316057534
2007-11-30,-0.09702578336001019,0.6863461473260938,0.55,0.48,0.07214734602867434,,,1.0,1.0,4,-0.0086,0,train,-0.0086,0.0,-0.0086,0.0,-0.0086,1.1273589980278471,1.1245392006823345,-0.0588553581075395
2007-12-31,-0.13279663761259616,0.6609853225029196,0.52,0.48,0.06672708451198955,,,1.0,1.0,4,-0.061200000000000004,0,train,-0.061200000000000004,0.0,-0.061200000000000004,0.0,-0.061200000000000004,1.0583646273485428,1.0557174016005755,-0.11645341019135813
2008-01-31,-0.6645902400711873,0.43833409869961154,0.52,0.48,0.07335857447024285,,,0.0,1.0,4,-0.0348,0,train,-0.0348,1.0,-0.0,0.0005,-0.0005,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-02-29,-1.499082218787497,0.21663489760319352,0.55,0.48,0.07745527811946432,,,0.0,1.0,4,-0.006,0,train,-0.006,0.0,-0.0,0.0,-0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
2008-03-31,-1.2976068073428941,0.24642968383518427,0.55,0.48,0.07366957976374115,,,0.0,1.0,4,0.0475,1,train,0.0475,0.0,0.0,0.0,0.0,1.0583646273485428,1.0551895428997753,-0.11689518348626238
