scenario,duration,buy_threshold,sell_threshold,tcost_bps,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,buy_count,hold_count,sell_count,periods
S004,6.0,0.25,-0.0001,10.0,0.06016258748166314,0.06549569416848387,0.9267772022534841,-0.14535146411590294,0.4139111212095506,0.1557262569832402,5.714068984101768,143,68,149,358
S002,6.0,0.0001,-0.25,10.0,0.06149692101203463,0.06743462856104891,0.9207917760002887,-0.14748426224486377,0.4169727676430527,0.12779329608938547,5.932563203758733,196,58,106,358
S005,6.0,0.25,-0.25,25.0,0.06010634533785364,0.06646271614049963,0.9134732933991841,-0.14660417025927808,0.4099906928401289,0.11103351955307261,5.705032394996135,143,111,106,358
S014,8.5,0.25,-0.25,0.0,0.06937770683346667,0.07713678309218895,0.9103707157690006,-0.22246402937759602,0.31186033547791875,0.11103351955307263,7.397391395207037,143,108,109,358
S014,8.5,0.25,-0.25,5.0,0.06867362802147614,0.0770827550660018,0.9023661292188886,-0.2247816294886651,0.3055126354306418,0.11103351955307263,7.253460558283637,143,108,109,358
S013,8.5,0.25,-0.0001,0.0,0.06841822809027387,0.07720756797377878,0.8979084748852961,-0.22082102378745205,0.309835662007114,0.13337988826815642,7.201922608616553,143,69,148,358
S014,8.5,0.25,-0.25,10.0,0.06796966625687673,0.07703252358212043,0.8943062358287731,-0.22709347131320146,0.2993025993386429,0.11103351955307263,7.112261333578596,143,108,109,358
S008,6.0,0.5,-0.25,50.0,0.05790167282151426,0.06555178241626206,0.8933510156105275,-0.17380756100445482,0.3331366741866322,0.07751396648044692,5.361482572699356,81,173,106,358
S001,6.0,0.0001,-0.0001,0.0,0.05852169088586523,0.06636671252130143,0.8920413518494756,-0.14451632668698644,0.4049486464779834,0.21717877094972063,5.45602346070736,196,15,149,358
S002,6.0,0.0001,-0.25,25.0,0.05907641386513229,0.06733599535806875,0.8879793303578781,-0.15244856160387432,0.38751703029273404,0.12779329608938547,5.541972120104024,196,58,106,358
S013,8.5,0.25,-0.0001,5.0,0.06756829258304453,0.07720219883981619,0.8876049038643259,-0.22394715437017465,0.3017153433946169,0.13337988826815642,7.032947637214046,143,69,148,358
S004,6.0,0.25,-0.0001,25.0,0.057206318744622564,0.06553011231471678,0.8835150975686101,-0.1466041702592782,0.3902093551871668,0.1557262569832402,5.257337769599457,143,68,149,358
S013,8.5,0.25,-0.0001,10.0,0.0667186122558121,0.07720131338626836,0.8772489479663014,-0.22706230747122202,0.2938339392339173,0.13337988826815642,6.8678563828555035,143,69,148,358
S001,6.0,0.0001,-0.0001,5.0,0.057149001894521545,0.0663740033199352,0.8723110921986412,-0.14582465985376591,0.39190217862898497,0.21717877094972063,5.248841059178357,196,15,149,358
S014,8.5,0.25,-0.25,25.0,0.06585848362306224,0.07690467996610732,0.8698048399478681,-0.2339945614693798,0.28145305262438924,0.11103351955307263,6.704552524709003,143,108,109,358
S007,6.0,0.5,-0.0001,0.0,0.05547002704374204,0.06495902215648985,0.8652748878996114,-0.1655295987103006,0.3351063947229291,0.09427374301675978,5.0057538999808004,81,130,149,358
S005,6.0,0.25,-0.25,50.0,0.056598262283209744,0.06644539002610844,0.8635800104714323,-0.14869201383156994,0.38064090212216184,0.11103351955307261,5.167872387193874,143,111,106,358
S007,6.0,0.5,-0.0001,5.0,0.05487686985357909,0.06494174797965263,0.8567950492163855,-0.16635925117706374,0.32986966138222834,0.09427374301675978,4.922504590796645,81,130,149,358
S009,6.0,0.5,-0.5,0.0,0.056470673359398704,0.06713167012119826,0.8536110466501808,-0.16552959871030082,0.3411515148914849,0.07751396648044692,5.149287463617057,81,211,68,358
S001,6.0,0.0001,-0.0001,10.0,0.0557774119215424,0.06638897409619647,0.8524865382300442,-0.14748426224486388,0.37819229708005564,0.21717877094972063,5.049428846590588,196,15,149,358
S016,8.5,0.5,-0.0001,0.0,0.06369703424139628,0.0760435665950023,0.8518591476150774,-0.16901089421474025,0.3768812332326028,0.11103351955307263,6.310572967561588,94,118,148,358
S006,6.0,0.25,-0.5,0.0,0.05705259376583949,0.06810820364871757,0.8504668725147227,-0.14451632668698644,0.394783032988459,0.09427374301675978,5.2345793435716415,143,149,68,358
S007,6.0,0.5,-0.0001,10.0,0.054283752875798896,0.06492840135723515,0.8482593833674718,-0.16718849114663825,0.32468594281521157,0.09427374301675978,4.840599625687004,81,130,149,358
S017,8.5,0.5,-0.25,0.0,0.0643409469724967,0.0772258673988529,0.8479356082976761,-0.22246402937759602,0.2892195522687785,0.09986033519553073,6.425540324658884,94,157,109,358
S009,6.0,0.5,-0.5,5.0,0.055982324705448505,0.06712098209682456,0.8468179341395105,-0.16635925117706363,0.33651464712271395,0.07751396648044692,5.078748336307509,81,211,68,358
S011,8.5,0.0001,-0.25,0.0,0.06384129325037091,0.07673314061510923,0.8467596765720683,-0.22246402937759602,0.28697355446174555,0.14455307262569828,6.336155582709941,197,54,109,358
S013,8.5,0.25,-0.0001,25.0,0.06417110284611405,0.07722555674557834,0.8458849079729562,-0.23634223196855964,0.2715177152708394,0.13337988826815642,6.395020474075728,143,69,148,358
S016,8.5,0.5,-0.0001,5.0,0.06299222095597923,0.07604087660820864,0.8431281905683563,-0.17149711900288744,0.3673077502539191,0.11103351955307263,6.187011299155786,94,118,148,358
S006,6.0,0.25,-0.5,5.0,0.05645976771322769,0.06807601249509976,0.8425600499992395,-0.14493389540144486,0.38955530420846496,0.09427374301675978,5.147701919811857,143,149,68,358
S017,8.5,0.5,-0.25,5.0,0.06370917599841053,0.07719234901885268,0.8405418627970804,-0.22478162948866498,0.28342696929164835,0.09986033519553073,6.312722310090814,94,157,109,358
S009,6.0,0.5,-0.5,10.0,0.055493960600903725,0.06711347424955333,0.8399828533409677,-0.16718849114663803,0.3319245255478199,0.07751396648044692,5.009141363309866,81,211,68,358
S010,8.5,0.0001,-0.0001,0.0,0.06329698638716907,0.07695453172144481,0.8378592241870834,-0.22082102378745228,0.2866438407970365,0.18924581005586588,6.240150431218519,197,15,148,358
S011,8.5,0.0001,-0.25,5.0,0.06292593170456495,0.0767022644850901,0.8357929368084867,-0.22478162948866476,0.2799425017413986,0.14455307262569828,6.175511101058206,197,54,109,358
S006,6.0,0.25,-0.5,10.0,0.05586698175325444,0.06804755801084192,0.8345999135556177,-0.14535146411590316,0.3843578879171533,0.09427374301675978,5.062224565727493,143,149,68,358
S016,8.5,0.5,-0.0001,10.0,0.06228752566796958,0.07604207091020054,0.8343539941398587,-0.17397714316759594,0.3580213155239977,0.11103351955307263,6.065809524756094,94,118,148,358
