Date,spx_trend,bcom_trend,credit_vs_rates,risk_breadth,spx_trend_z,bcom_trend_z,credit_vs_rates_z,risk_breadth_z,composite_score,signal
1997-09-30,0.15136641301011955,0.0028479282411266738,-0.0033844444444444486,-0.0006303333333333392,,,-0.9332160423403201,-0.6780063645651623,-0.8056112034527412,SELL
1997-10-31,0.08858710529761127,-0.002541495514022385,-0.0050925000000000085,-0.012676277777777786,,,-1.2071646152905184,-1.6633164465931625,-1.4352405309418406,SELL
1997-11-28,0.11518132104359058,-0.04355629740596878,-0.0063175000000000245,-0.0113672777777778,,,-1.3596622588247271,-1.403942882331751,-1.381802570578239,SELL
1997-12-31,0.10797071458134133,-0.07982420424978065,-0.005541666666666674,-0.01891055555555556,-0.5631582075997056,-2.869302855236853,-1.1251479980590056,-1.8976723691934532,-1.6138203575222545,SELL
1998-01-30,0.09892035757024886,-0.0737244802780449,-0.00471638888888892,-0.012968166666666675,-0.7609396636639055,-1.9927941550905393,-0.9162800639457024,-1.2650945583704385,-1.2337771102676465,SELL
1998-02-27,0.148599059198266,-0.10696359668118549,-0.004495833333333352,-0.008930166666666663,0.5385178977420242,-2.3523226669490254,-0.8385655966625744,-0.8963738124071323,-0.8871860445691769,SELL
1998-03-31,0.1692115582235696,-0.09669589075714702,-0.0020791666666666975,0.0035847222222222144,1.0523655376654943,-1.746354030636864,-0.364011468129053,0.06131182005386496,-0.2491720352616394,SELL
1998-04-30,0.14830139016683552,-0.09895306618645283,0.003275277777777782,0.008206944444444449,0.4421648564187662,-1.5818531448569322,0.6475943145295796,0.40870244612434437,-0.02084788194606052,SELL
1998-05-29,0.10364341680037303,-0.12950547608489982,0.0006091666666666152,-0.007785277777777798,-0.7636279699233985,-1.9175699488093843,0.12369465712466235,-0.8284751551184513,-0.846494604181643,SELL
1998-06-30,0.12360860729011725,-0.1377974322727754,-0.0020480555555556046,-0.01512183333333335,-0.19137177781458412,-1.8159133697546603,-0.3930808380330164,-1.369252945316982,-0.9424047327298107,SELL
1998-07-31,0.09550532965667813,-0.17352762337636496,-0.0035119444444444998,-0.02251716666666669,-0.9670736202424737,-2.1314060263524413,-0.6730374317742635,-1.8616382255037796,-1.4082888259682393,SELL
1998-08-31,-0.06860199814164059,-0.20653111264664303,-0.017167777777777792,-0.05026666666666666,-5.49376316119785,-2.298251447133784,-3.3724728357855875,-3.748716705582609,-3.7283010374249574,SELL
1998-09-30,-0.016049903291008194,-0.12631867126540508,-0.02142444444444447,-0.04650455555555557,-2.4387116916477343,-1.0436592337054937,-3.522834232953928,-2.77869357885768,-2.445974684291209,SELL
1998-10-30,0.04741309453065168,-0.13064921985450173,-0.022091111111111113,-0.030267333333333313,-1.0702482765503172,-1.0466914885890288,-2.996680151468065,-1.5380633180849856,-1.6629208086730993,SELL
1998-11-30,0.09128933911767212,-0.17142635813973395,0.0006208333333333054,0.011162611111111104,-0.30751169745623713,-1.4836713165674371,0.35975632416007275,0.768424032074874,-0.16575066444718187,SELL
1998-12-31,0.12995671148214338,-0.17862406357947003,0.00474361111111107,0.008844944444444424,0.3413410782522832,-1.4721188444684425,0.8962085899649801,0.6242146724484814,0.09741137404932554,BUY
1999-01-29,0.14992552586824703,-0.15941556823974323,0.007956944444444345,0.004865499999999933,0.6718030597628214,-1.1648130301078878,1.2965021637328071,0.39385402004661973,0.2993365533585901,BUY
1999-02-26,0.09727364424313767,-0.16698805209202228,0.00870916666666663,0.009064166666666642,-0.24774298568100467,-1.1985344586036746,1.344919903723247,0.6196914607393958,0.1295834800444909,BUY
