Date,spx_Price,spx_Return,I1_AR3,I1_AR3_Forecast,I2_MACD,I2_MACD_Line,I2_MACD_Vel,I3_CreditSpread,I3_Spread_Index,I3_Spread_ROC_Inv,I4_CommodityMom,I4_Commodity_ZScore,I5_VolRegime,I5_Vol_ZScore,Vote_Sum,Composite_Score,Signal,Position,Forward_Return,Strategy_Return,BH_Return,Strategy_Cumulative,BH_Cumulative,Bench_6040_Return,Bench_6040_Cumulative,Bench_EW_Return,Bench_EW_Cumulative,Bench_SMA_Return,Bench_SMA_Cumulative,Bench_Random_Return,Bench_Random_Cumulative,Meta_Label,Rolling_Sharpe,Rolling_HitRate,Set
1998-11-30,1163.63,0.0591,0.0,-0.0003262303556863829,1.0,48.897626721259485,28.386927873794548,1.0,-0.345444,0.08201100000000006,0.0,,0.0,,2.0,0.4,SELL,0,0.0564,0.0,0.0564,1.1291225153465945,1.9329302835386188,0.028239599999999997,1.409639672801218,0.0019179999999999996,1.1245089578872323,0.0564,1.6595548648560734,0.056399999999999964,1.9347314132707432,0.0,1.224553616084581,0.4166666666666667,train
1998-12-31,1229.23,0.0564,0.0,-0.005931037916954146,1.0,76.93794933133358,28.0403226100741,1.0,-0.362345,-0.045223999999999986,0.0,,0.0,,2.0,0.4,SELL,0,0.040999999999999995,0.0,0.040999999999999995,1.1291225153465945,2.012180425163702,0.024857999999999998,1.4446804957877106,0.010913999999999998,1.1367818486536136,0.040999999999999995,1.7275966143151722,0.04099999999999993,2.0140554012148435,0.0,1.0919752339777988,0.3333333333333333,train
1999-01-29,1279.64,0.040999999999999995,1.0,0.005783990281035126,1.0,97.45417682351535,20.51622749218177,1.0,-0.3716,0.021286000000000027,0.0,,0.0,,3.0,0.6,BUY,1,-0.0323,-0.0323,-0.0323,1.0926518581008995,1.9471869974309144,0.035318,1.495703721537941,0.010639000000000003,1.1488760707414396,-0.0323,1.671795243672792,-0.03230000000000001,1.949001411755604,0.0,0.6190607051817311,0.3333333333333333,train
1999-02-26,1238.33,-0.0323,1.0,0.013616186014604506,0.0,83.84361744999751,-13.610559373517845,0.0,-0.21115499999999998,-0.134289,0.0,,1.0,0.2705661147862975,2.0,0.4,SELL,0,0.0388,0.0,0.0388,1.0926518581008995,2.022737852931234,0.0198756,1.5254317304257405,0.03218325,1.1858506365451291,0.0388,1.7366608991272963,0.0,1.949001411755604,0.0,0.07370492691959027,0.25,train
1999-03-31,1286.37,0.0388,1.0,0.019811803479227067,1.0,85.93896884719493,2.095351397197419,0.0,-0.22676599999999997,-0.135579,0.0,,1.0,0.04133936982869196,3.0,0.6,BUY,1,0.0379,0.0379,0.0379,1.1340633635229236,2.0993996175573275,0.0308284,1.5724583499839975,0.02443375,1.2148254145358137,0.0379,1.8024803472042208,0.0,1.949001411755604,1.0,0.41170580851518995,0.25,train
1999-04-30,1335.18,0.0379,1.0,0.022806662265597553,1.0,94.51397906903071,8.575010221835782,0.0,-0.20944499999999996,-0.16215500000000002,0.0,,1.0,-0.02947497691605565,3.0,0.6,BUY,1,-0.025,-0.025,-0.025,1.1057117794348506,2.0469146271183942,0.005493600000000001,1.5810968071754696,-0.012979250000000001,1.1990578917741999,-0.025,1.7574183385241153,-0.025000000000000033,1.9002763764617139,0.0,0.3295115308365458,0.25,train
1999-05-31,1301.84,-0.025,1.0,0.020529722550852968,0.0,78.82157606259716,-15.692403006433551,0.0,-0.14481099999999997,-0.06634400000000001,0.0,,1.0,-0.22039105903496026,2.0,0.4,SELL,0,0.054400000000000004,0.0,0.054400000000000004,1.1057117794348506,2.158266782833635,0.04388160000000001,1.6504778648292207,0.03218575,1.2376504693143713,0.054400000000000004,1.8530218961398273,0.0543999999999999,2.003651411341231,0.0,0.3295115308365458,0.25,train
1999-06-30,1372.71,0.054400000000000004,1.0,0.02189995263261165,1.0,87.78590428154735,8.964328218950186,0.0,-0.11150699999999997,-0.115259,1.0,1.1340668250554096,1.0,-0.05316907250314177,4.0,0.8,BUY,1,-0.032,-0.032,-0.032,1.0703290024929353,2.0892022457829587,-0.010687999999999998,1.6328375574099259,-0.0006395000000000001,1.2368589918392447,-0.032,1.7937251954633526,-0.03200000000000005,1.9395345661783114,0.0,0.08447277271066661,0.25,train
1999-07-30,1328.72,-0.032,1.0,0.020903787829112196,0.0,69.47577452734072,-18.310129754206628,0.0,-0.08472699999999997,-0.124718,1.0,1.3597090798551836,1.0,0.16925417241404028,3.0,0.6,BUY,1,-0.0063,-0.0063,-0.0063,1.0635859297772299,2.076040271634526,0.0007600000000000007,1.6340785139535576,0.0140495,1.2542362422450903,-0.0063,1.7824247267319335,-0.006300000000000012,1.927315498411388,0.0,0.015314047321738517,0.16666666666666666,train
1999-08-31,1320.41,-0.0063,1.0,0.026303949901076307,0.0,53.02519648904354,-16.45057803829718,0.0,-0.07097699999999997,-0.073834,0.0,2.2766930941399375,1.0,0.017023033460072067,2.0,0.4,SELL,0,-0.0286,-0.0,-0.0286,1.0635859297772299,2.0166655198657786,-0.0233912,1.595855456617967,0.0036512499999999982,1.2588157723245879,-0.0286,1.7314473795474004,-0.0286,1.8721942751568224,1.0,0.015314047321738517,0.25,train
